time,cpu,mem
1627321488.06,0.0,1054646272
1627321488.16,50.0,1054650368
1627321488.26,0.0,1054650368
1627321488.36,0.0,1054650368
1627321488.46,0.0,1054650368
1627321488.56,0.0,1054650368
1627321488.66,0.0,1054650368
1627321488.76,0.0,1054650368
1627321488.86,0.0,1054650368
1627321488.96,0.0,1054650368
1627321489.06,0.0,1054650368
1627321489.16,0.0,1054650368
1627321489.26,20.0,1054650368
1627321489.36,0.0,1054650368
1627321489.46,0.0,1054650368
1627321489.56,0.0,1054650368
1627321489.66,0.0,1054650368
1627321489.77,0.0,1054650368
1627321489.87,0.0,1054650368
1627321489.97,0.0,1054650368
1627321490.07,0.0,1054650368
1627321490.17,0.0,1054650368
1627321490.27,0.0,1054650368
1627321490.37,0.0,1054650368
1627321490.47,9.6,1054650368
1627321490.57,0.0,1054650368
1627321490.67,0.0,1054650368
1627321490.77,10.4,1054650368
1627321490.87,0.0,1054650368
1627321490.97,0.0,1054650368
1627321491.07,0.0,1054650368
1627321491.17,0.0,1054650368
1627321491.27,29.2,1054650368
1627321491.37,9.6,1054650368
1627321491.47,0.0,1054650368
1627321491.57,0.0,1054650368
1627321491.67,0.0,1054650368
1627321491.77,0.0,1054650368
1627321491.87,0.0,1054650368
1627321491.98,0.0,1054650368
1627321492.08,0.0,1054650368
1627321492.18,0.0,1054650368
1627321492.28,10.0,1054642176
1627321492.38,0.0,1054642176
1627321492.48,0.0,1054642176
1627321492.58,0.0,1054642176
1627321492.68,0.0,1054642176
1627321492.78,0.0,1054642176
1627321492.88,110.0,1056215040
1627321492.98,129.6,1058017280
1627321493.08,129.6,1060290560
1627321493.18,123.2,1061138432
1627321493.28,100.0,1061138432
1627321493.38,107.2,1061138432
1627321493.48,100.0,1061138432
1627321493.58,100.0,1061138432
1627321493.68,100.0,1061138432
1627321493.78,110.0,1060909056
1627321493.88,100.0,1061433344
1627321493.98,107.2,1061433344
1627321494.08,102.4,1061433344
1627321494.18,100.0,1061433344
1627321494.28,100.0,1061433344
1627321494.38,100.0,1061433344
1627321494.48,100.0,1061203968
1627321494.58,107.2,1061171200
1627321494.68,100.0,1061171200
1627321494.78,100.0,1061171200
1627321494.89,100.0,1061105664
1627321494.99,100.0,1061105664
1627321495.09,100.0,1061105664
1627321495.19,100.0,1061105664
1627321495.29,100.0,1061105664
1627321495.39,112.8,1061113856
1627321495.49,100.0,1060884480
1627321495.59,100.0,1060884480
1627321495.69,100.0,1060884480
1627321495.79,100.0,1060851712
1627321495.89,100.0,1060753408
1627321495.99,100.0,1060757504
1627321496.09,114.4,1060757504
1627321496.19,100.0,1060757504
1627321496.29,100.0,1060757504
1627321496.39,100.0,1060757504
1627321496.49,100.0,1060528128
1627321496.59,102.4,1060528128
1627321496.69,100.0,1060528128
1627321496.79,100.0,1060532224
1627321496.89,110.0,1060433920
1627321496.99,100.0,1060405248
1627321497.09,100.0,1060409344
1627321497.19,100.0,1060159488
1627321497.29,100.0,1060159488
1627321497.39,100.0,1060159488
1627321497.49,100.0,1059930112
1627321497.59,107.2,1059930112
1627321497.69,100.0,1059930112
1627321497.79,102.4,1059930112
1627321497.89,100.0,1059831808
1627321497.99,100.0,1059831808
1627321498.09,100.0,1059831808
1627321498.22,125.6,1059573760
1627321498.32,102.4,1059573760
1627321498.42,100.0,1059590144
1627321498.52,100.0,1059360768
1627321498.62,100.0,1059364864
1627321498.72,100.0,1059364864
1627321498.82,102.4,1059266560
1627321498.92,107.2,1059008512
1627321499.02,107.2,1059008512
1627321499.12,100.0,1059008512
1627321499.22,100.0,1058979840
1627321499.32,100.0,1058979840
1627321499.42,100.0,1058779136
1627321499.52,100.0,1058549760
1627321499.62,100.0,1058549760
1627321499.72,100.0,1058553856
1627321499.82,100.0,1058455552
1627321499.92,110.0,1058394112
1627321500.02,110.0,1058394112
1627321500.12,100.0,1058394112
1627321500.22,100.0,1058394112
1627321500.32,100.0,1058394112
1627321500.42,100.0,1058394112
1627321500.52,107.2,1058164736
1627321500.62,100.0,1058164736
1627321500.72,100.0,1057964032
1627321500.83,100.0,1057865728
1627321500.93,100.0,1057824768
1627321501.03,100.0,1057824768
1627321501.13,100.0,1057824768
1627321501.23,100.0,1057820672
1627321501.33,102.4,1057824768
1627321501.43,110.0,1057824768
1627321501.53,100.0,1057595392
1627321501.63,100.0,1057595392
1627321501.73,100.0,1057337344
1627321501.83,100.0,1057243136
1627321501.93,107.2,1057239040
1627321502.03,100.0,1056980992
1627321502.13,100.0,1056980992
1627321502.23,100.0,1056980992
1627321502.33,100.0,1056985088
1627321502.43,100.0,1056985088
1627321502.53,100.0,1056497664
1627321502.63,100.0,1056497664
1627321502.73,102.4,1056239616
1627321502.83,107.2,1056145408
1627321502.93,110.0,1056145408
1627321503.03,39.2,1056079872
1627321503.13,0.0,1056079872
1627321503.23,0.0,1056079872
1627321503.33,0.0,1056079872
1627321503.43,0.0,1056079872
1627321503.53,0.0,1056079872
1627321503.63,0.0,1056079872
1627321503.73,0.0,1056079872
1627321503.83,0.0,1056079872
1627321503.94,0.0,1056079872
1627321504.04,0.0,1056079872
1627321504.14,0.0,1056079872
1627321504.24,0.0,1056079872
1627321504.34,0.0,1056079872
1627321504.44,19.6,1056079872
1627321504.54,0.0,1056079872
1627321504.64,0.0,1056079872
1627321504.74,0.0,1056079872
1627321504.84,0.0,1056079872
1627321504.94,0.0,1056079872
1627321505.04,0.0,1056079872
1627321505.14,0.0,1056079872
1627321505.24,0.0,1056079872
1627321505.34,0.0,1056079872
1627321505.44,0.0,1056079872
1627321505.54,0.0,1056079872
1627321505.64,0.0,1056079872
1627321505.74,0.0,1056079872
1627321505.84,0.0,1056079872
1627321505.94,19.6,1056079872
1627321506.05,0.0,1056079872
1627321506.15,0.0,1056079872
1627321506.25,0.0,1056079872
1627321506.35,0.0,1056079872
1627321506.45,0.0,1056079872
1627321506.55,0.0,1056079872
1627321506.65,0.0,1056079872
1627321506.75,0.0,1056079872
1627321506.85,0.0,1056079872
1627321506.95,0.0,1056079872
1627321507.05,0.0,1056079872
1627321507.15,0.0,1056079872
1627321507.25,0.0,1056079872
1627321507.35,0.0,1056079872
1627321507.45,10.0,1056079872
1627321507.55,9.6,1056079872
1627321507.65,0.0,1056079872
1627321507.75,0.0,1056079872
1627321507.85,0.0,1056079872
1627321507.95,0.0,1056079872
1627321508.05,0.0,1056079872
1627321508.15,0.0,1056079872
1627321508.26,0.0,1056079872
1627321508.39,22.8,1056071680
1627321508.49,0.0,1056071680
1627321508.59,0.0,1056071680
1627321508.69,0.0,1056071680
1627321508.79,0.0,1056071680
1627321508.89,0.0,1056071680
